part,qty,colour,description
43093,1,Blue,Technic Axle 1L with Pin with Friction Ridges
99781,2,Dark Bluish Gray,Bracket 1 x 2 - 1 x 2
30162,1,Dark Bluish Gray,Minifigure Utensil Binoculars Town
3020,4,Dark Bluish Gray,Plate 2 x 4
85861,15,Dark Bluish Gray,Plate Round 1 x 1 with Open Stud
35480,4,Dark Bluish Gray,Plate Round 1 x 2 with Open Studs
15535,2,Dark Bluish Gray,Tile Round 2 x 2 with Hole
25269,3,Dark Red,Tile Round 1 x 1 Quarter
99780,2,Light Bluish Gray,Bracket 1 x 2 - 1 x 2 Inverted
98100,1,Light Bluish Gray,Cone 2 x 2 Truncated
4740,1,Light Bluish Gray,Dish 2 x 2 Inverted Radar
99563,8,Light Bluish Gray,Minifigure Utensil Ingot 1 x 2
3023,4,Light Bluish Gray,Plate 1 x 2
3710,1,Light Bluish Gray,Plate 1 x 4
87580,1,Light Bluish Gray,Plate Modified 2 x 2 with Groove and 1 Stud in Center
30565,8,Light Bluish Gray,Plate Round Corner 4 x 4
18646,2,Light Bluish Gray,Plate Round Half 3 x 6 with 1 x 2 Cutout
4599b,1,Light Bluish Gray,Tap 1 x 1 without Hole in Nozzle End
73109,1,Light Bluish Gray,Technic Brick Modified 1 x 2 with Hole and 1 x 2 Plate
26601,2,Light Bluish Gray,Wedge Plate 2 x 2 Cut Corner
54384,2,Light Bluish Gray,Wedge Plate 6 x 3 Left
54383,2,Light Bluish Gray,Wedge Plate 6 x 3 Right
3023,6,Trans-Light Blue,Plate 1 x 2
